smiles,logp
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,6.16
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],0.04
O=c1[nH]c2cc(Cl)ccc2o1,2.09
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,1.49
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,3.10
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,0.25
CC(O)C(O)C1CNc2[nH]c(N)nc(=O)c2N1,-1.82
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,-0.12
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,2.90
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.25
NCC(O)c1ccc(O)c(O)c1,-1.40
Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,-2.12
CN1CCN2c3ncccc3Cc3ccccc3C2C1,2.90
CCCC(C)(COC(N)=O)COC(N)=O,1.06
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,5.12
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1.44
CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,3.53
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.93
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,2.72
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,3.27
Cc1cccc(C)c1OCC(C)N,2.17
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,-1.05
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2.22
Nc1c2c(nc3ccccc13)CCCC2,3.13
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,2.89
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.21
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,4.13
CNCC(O)c1cccc(O)c1,-0.69
CCOC(=O)n1ccn(C)c1=S,0.78
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1.20
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,5.75
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,3.41
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,3.69
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,1.76
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.58
CC(N)C(O)c1ccccc1,0.57
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4.12
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-0.93
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.71
